"knr","kname","month","age","unemp"
"306","1003","Farsund (-2019)","2000M06","15-74 years",5
"307","1003","Farsund (-2019)","2000M07","15-74 years",5.5
"308","1003","Farsund (-2019)","2000M08","15-74 years",5.9
"309","1003","Farsund (-2019)","2000M09","15-74 years",4.5
"310","1003","Farsund (-2019)","2000M10","15-74 years",5
"311","1003","Farsund (-2019)","2000M11","15-74 years",5
"312","1003","Farsund (-2019)","2000M12","15-74 years",5.7
"313","1003","Farsund (-2019)","2001M01","15-74 years",5.6
"314","1003","Farsund (-2019)","2001M02","15-74 years",5.7
"315","1003","Farsund (-2019)","2001M03","15-74 years",5.7
"316","1003","Farsund (-2019)","2001M04","15-74 years",5.8
"317","1003","Farsund (-2019)","2001M05","15-74 years",5.3
"318","1003","Farsund (-2019)","2001M06","15-74 years",5
"319","1003","Farsund (-2019)","2001M07","15-74 years",5
"320","1003","Farsund (-2019)","2001M08","15-74 years",5
"321","1003","Farsund (-2019)","2001M09","15-74 years",4.1
"322","1003","Farsund (-2019)","2001M10","15-74 years",3.5
"323","1003","Farsund (-2019)","2001M11","15-74 years",3.8
"324","1003","Farsund (-2019)","2001M12","15-74 years",4.5
"325","1003","Farsund (-2019)","2002M01","15-74 years",5.3
"326","1003","Farsund (-2019)","2002M02","15-74 years",4.8
"327","1003","Farsund (-2019)","2002M03","15-74 years",4.3
"328","1003","Farsund (-2019)","2002M04","15-74 years",3.9
"329","1003","Farsund (-2019)","2002M05","15-74 years",3.9
"330","1003","Farsund (-2019)","2002M06","15-74 years",4.4
"331","1003","Farsund (-2019)","2002M07","15-74 years",4.5
"332","1003","Farsund (-2019)","2002M08","15-74 years",4.6
"333","1003","Farsund (-2019)","2002M09","15-74 years",4.3
"334","1003","Farsund (-2019)","2002M10","15-74 years",4.5
"335","1003","Farsund (-2019)","2002M11","15-74 years",4.5
"336","1003","Farsund (-2019)","2002M12","15-74 years",4.7
"337","1003","Farsund (-2019)","1999M01","15-29 years",3.9
"338","1003","Farsund (-2019)","1999M02","15-29 years",3.4
"339","1003","Farsund (-2019)","1999M03","15-29 years",3.1
"340","1003","Farsund (-2019)","1999M04","15-29 years",2.9
"341","1003","Farsund (-2019)","1999M05","15-29 years",2.9
"342","1003","Farsund (-2019)","1999M06","15-29 years",8.7
"343","1003","Farsund (-2019)","1999M07","15-29 years",9.9
"344","1003","Farsund (-2019)","1999M08","15-29 years",11.3
"345","1003","Farsund (-2019)","1999M09","15-29 years",8.5
"346","1003","Farsund (-2019)","1999M10","15-29 years",9
"347","1003","Farsund (-2019)","1999M11","15-29 years",5.4
"348","1003","Farsund (-2019)","1999M12","15-29 years",4.2
"349","1003","Farsund (-2019)","2000M01","15-29 years",4.8
"350","1003","Farsund (-2019)","2000M02","15-29 years",4.8
"351","1003","Farsund (-2019)","2000M03","15-29 years",6.9
"352","1003","Farsund (-2019)","2000M04","15-29 years",5.4
"353","1003","Farsund (-2019)","2000M05","15-29 years",6.9
"354","1003","Farsund (-2019)","2000M06","15-29 years",6.4
"355","1003","Farsund (-2019)","2000M07","15-29 years",7.5
"356","1003","Farsund (-2019)","2000M08","15-29 years",7.9
"357","1003","Farsund (-2019)","2000M09","15-29 years",5.7
"358","1003","Farsund (-2019)","2000M10","15-29 years",6.6
"359","1003","Farsund (-2019)","2000M11","15-29 years",6.5
"360","1003","Farsund (-2019)","2000M12","15-29 years",7
"361","1003","Farsund (-2019)","2001M01","15-29 years",7.2
"362","1003","Farsund (-2019)","2001M02","15-29 years",7.1
"363","1003","Farsund (-2019)","2001M03","15-29 years",7.7
"364","1003","Farsund (-2019)","2001M04","15-29 years",7.7
"365","1003","Farsund (-2019)","2001M05","15-29 years",7
"366","1003","Farsund (-2019)","2001M06","15-29 years",6.4
"367","1003","Farsund (-2019)","2001M07","15-29 years",6.7
"368","1003","Farsund (-2019)","2001M08","15-29 years",6.7
"369","1003","Farsund (-2019)","2001M09","15-29 years",4.9
"370","1003","Farsund (-2019)","2001M10","15-29 years",4.5
"371","1003","Farsund (-2019)","2001M11","15-29 years",4.9
"372","1003","Farsund (-2019)","2001M12","15-29 years",5.8
"373","1003","Farsund (-2019)","2002M01","15-29 years",7
"374","1003","Farsund (-2019)","2002M02","15-29 years",6.5
"375","1003","Farsund (-2019)","2002M03","15-29 years",5.5
"376","1003","Farsund (-2019)","2002M04","15-29 years",4.9
"377","1003","Farsund (-2019)","2002M05","15-29 years",4.4
"378","1003","Farsund (-2019)","2002M06","15-29 years",5.8
"379","1003","Farsund (-2019)","2002M07","15-29 years",5.7
"380","1003","Farsund (-2019)","2002M08","15-29 years",5.7
"381","1003","Farsund (-2019)","2002M09","15-29 years",5.1
"382","1003","Farsund (-2019)","2002M10","15-29 years",5.4
"383","1003","Farsund (-2019)","2002M11","15-29 years",4.8
"384","1003","Farsund (-2019)","2002M12","15-29 years",5.2
"385","1004","Flekkefjord (-2019)","1999M01","15-74 years",1.9
"386","1004","Flekkefjord (-2019)","1999M02","15-74 years",1.8
"387","1004","Flekkefjord (-2019)","1999M03","15-74 years",1.8
"388","1004","Flekkefjord (-2019)","1999M04","15-74 years",1.7
"389","1004","Flekkefjord (-2019)","1999M05","15-74 years",1.3
"390","1004","Flekkefjord (-2019)","1999M06","15-74 years",1.9
"391","1004","Flekkefjord (-2019)","1999M07","15-74 years",2.4
"392","1004","Flekkefjord (-2019)","1999M08","15-74 years",2.5
"393","1004","Flekkefjord (-2019)","1999M09","15-74 years",2.1
"394","1004","Flekkefjord (-2019)","1999M10","15-74 years",2.9
"395","1004","Flekkefjord (-2019)","1999M11","15-74 years",2.4
"396","1004","Flekkefjord (-2019)","1999M12","15-74 years",2.2
"397","1004","Flekkefjord (-2019)","2000M01","15-74 years",2.5
"398","1004","Flekkefjord (-2019)","2000M02","15-74 years",2.3
"399","1004","Flekkefjord (-2019)","2000M03","15-74 years",2.2
"400","1004","Flekkefjord (-2019)","2000M04","15-74 years",2.3
"401","1004","Flekkefjord (-2019)","2000M05","15-74 years",2.2
"402","1004","Flekkefjord (-2019)","2000M06","15-74 years",2.2
"403","1004","Flekkefjord (-2019)","2000M07","15-74 years",2.5
"404","1004","Flekkefjord (-2019)","2000M08","15-74 years",2.8
"405","1004","Flekkefjord (-2019)","2000M09","15-74 years",2.3
"406","1004","Flekkefjord (-2019)","2000M10","15-74 years",2.5
"407","1004","Flekkefjord (-2019)","2000M11","15-74 years",2.4
"408","1004","Flekkefjord (-2019)","2000M12","15-74 years",2.6
"409","1004","Flekkefjord (-2019)","2001M01","15-74 years",2.9
"410","1004","Flekkefjord (-2019)","2001M02","15-74 years",2.4
"411","1004","Flekkefjord (-2019)","2001M03","15-74 years",2.1
"412","1004","Flekkefjord (-2019)","2001M04","15-74 years",2.6
"413","1004","Flekkefjord (-2019)","2001M05","15-74 years",1.7
"414","1004","Flekkefjord (-2019)","2001M06","15-74 years",2
"415","1004","Flekkefjord (-2019)","2001M07","15-74 years",2.5
"416","1004","Flekkefjord (-2019)","2001M08","15-74 years",2.5
"417","1004","Flekkefjord (-2019)","2001M09","15-74 years",1.9
"418","1004","Flekkefjord (-2019)","2001M10","15-74 years",2.1
"419","1004","Flekkefjord (-2019)","2001M11","15-74 years",2
"420","1004","Flekkefjord (-2019)","2001M12","15-74 years",2
"421","1004","Flekkefjord (-2019)","2002M01","15-74 years",3
"422","1004","Flekkefjord (-2019)","2002M02","15-74 years",2.5
"423","1004","Flekkefjord (-2019)","2002M03","15-74 years",1.9
"424","1004","Flekkefjord (-2019)","2002M04","15-74 years",2.1
"425","1004","Flekkefjord (-2019)","2002M05","15-74 years",1.9
"426","1004","Flekkefjord (-2019)","2002M06","15-74 years",1.7
"427","1004","Flekkefjord (-2019)","2002M07","15-74 years",2.4
"428","1004","Flekkefjord (-2019)","2002M08","15-74 years",2.1
"429","1004","Flekkefjord (-2019)","2002M09","15-74 years",2.7
"430","1004","Flekkefjord (-2019)","2002M10","15-74 years",2.3
"431","1004","Flekkefjord (-2019)","2002M11","15-74 years",2.2
"432","1004","Flekkefjord (-2019)","2002M12","15-74 years",2.4
"433","1004","Flekkefjord (-2019)","1999M01","15-29 years",2.9
"434","1004","Flekkefjord (-2019)","1999M02","15-29 years",2.4
